input_file,n,si,ti
video_4.mp4,712,27.296,12.332
video_4.mp4,713,26.709,14.967
video_4.mp4,714,26.506,10.686
video_4.mp4,715,26.341,18.111
video_4.mp4,716,21.972,13.196
video_4.mp4,717,20.712,9.3
video_4.mp4,718,20.464,9.548
video_4.mp4,719,20.732,8.027
video_4.mp4,720,20.896,11.303
video_4.mp4,721,21.569,10.256
video_4.mp4,722,22.517,9.887
video_4.mp4,723,23.36,9.492
video_4.mp4,724,23.531,7.43
video_4.mp4,725,24.172,8.475
video_4.mp4,726,23.886,7.701
video_4.mp4,727,23.578,8.184
video_4.mp4,728,23.411,8.176
video_4.mp4,729,23.415,6.25
video_4.mp4,730,23.375,8.883
video_4.mp4,731,23.478,10.117
video_4.mp4,732,24.955,12.511
video_4.mp4,733,24.2,15.199
video_4.mp4,734,22.547,15.29
video_4.mp4,735,22.993,11.923
video_4.mp4,736,34.106,11.06
video_4.mp4,737,34.118,11.794
video_4.mp4,738,33.36,11.023
video_4.mp4,739,33.626,8.626
video_4.mp4,740,32.922,11.164
video_4.mp4,741,32.791,11.365
video_4.mp4,742,32.745,11.865
video_4.mp4,743,30.97,12.469
video_4.mp4,744,29.592,9.861
video_4.mp4,745,28.197,12.891
video_4.mp4,746,26.85,12.901
video_4.mp4,747,25.406,12.429
video_4.mp4,748,24.163,11.929
video_4.mp4,749,23.569,9.86
video_4.mp4,750,22.357,12.215
video_4.mp4,751,21.335,11.892
video_4.mp4,752,20.671,11.53
video_4.mp4,753,20.4,8.772
video_4.mp4,754,20.567,11.464
video_4.mp4,755,20.72,11.669
video_4.mp4,756,21.016,11.167
video_4.mp4,757,21.914,12.09
video_4.mp4,758,22.647,10.332
video_4.mp4,759,23.459,13.476
video_4.mp4,760,24.496,16.606
video_4.mp4,761,27.842,23.746
video_4.mp4,762,29.034,15.408
video_4.mp4,763,30.099,10.197
video_4.mp4,764,30.975,12.355
video_4.mp4,765,31.796,11.95
video_4.mp4,766,32.267,12.079
video_4.mp4,767,33.109,13.213
video_4.mp4,768,33.422,14.115
video_4.mp4,769,35.092,17.44
video_4.mp4,770,34.94,14.211
video_4.mp4,771,34.207,12.943
video_4.mp4,772,33.794,13.183
video_4.mp4,773,33.013,22.533
video_4.mp4,774,33.228,19.891
